,popularity,acousticness,danceability,energy,liveness,loudness,tempo,name,clusters
226,0,0.211,0.562,0.858,0.24,-9.884,159.783,Greased Lightnin' - From “Grease” Soundtrack,84
227,0,0.0154,0.698,0.811,0.0617,-3.594,102.985,You Know I'm No Good,27
228,0,0.765,0.35,0.476,0.0785,-10.653,171.938,Taro,90
229,65,0.302,0.687,0.793,0.1,-3.577,100.993,Snapback,96
230,75,0.342,0.671,0.501,0.194,-13.119,87.04,The Gambler,39
231,46,0.883,0.51,0.255,0.0696,-15.903,115.115,Asleep - 2008 Remaster,95
232,70,0.00114,0.555,0.883,0.868,-3.426,125.02,Psycho,86
233,2,0.915,0.602,0.201,0.0952,-17.024,95.345,First Day Of My Life,11
234,25,0.0847,0.567,0.708,0.1,-6.416,130.136,Houdini 2016,83
235,70,0.291,0.81,0.755,0.0857,-6.408,130.991,Glamorous,58
236,80,0.0101,0.727,0.68,0.0821,-4.498,132.012,Down,58
237,1,0.274,0.618,0.504,0.105,-7.571,138.031,Summertime of Our Lives,12
238,66,0.193,0.693,0.879,0.124,-3.988,127.457,Fuck You,76
239,0,0.0122,0.429,0.752,0.426,-5.648,131.9,"No Light, No Light",63
240,59,0.829,0.532,0.203,0.108,-8.524,89.646,Billie Jean,60
241,51,0.035,0.505,0.443,0.0921,-7.039,94.069,The Last Time,36
242,0,0.702,0.558,0.45,0.0602,-9.641,179.873,"30,000 Feet",90
243,0,0.0022,0.492,0.773,0.305,-5.845,123.974,Swoon,2
244,72,0.922,0.52,0.119,0.0883,-12.148,69.217,One Day,60
245,0,0.239,0.453,0.751,0.176,-8.852,101.614,Locked In The Basement,13
246,29,0.0725,0.495,0.917,0.192,-3.142,95.153,Set Me On Fire,82
247,66,0.155,0.659,0.919,0.312,-2.658,123.135,Small Town,0
248,0,0.201,0.732,0.605,0.129,-7.307,120.013,Gasoline,12
249,68,0.0952,0.611,0.555,0.11,-6.372,88.969,Golden Hour,96
250,53,0.0116,0.535,0.924,0.117,-5.092,159.98,Bro Code,47
251,64,0.141,0.584,0.975,0.101,-6.534,138.341,Move on Up - Extended Version,43
252,38,0.000469,0.618,0.848,0.189,-4.36,118.998,Pumpin Blood,18
253,49,0.000102,0.547,0.944,0.0665,-2.264,122.005,Men's Needs,57
254,44,0.886,0.292,0.198,0.759,-14.947,81.268,Pretty Women,38
255,52,0.263,0.758,0.907,0.062,-6.099,133.042,Touch,76
256,80,0.228,0.651,0.663,0.0994,-5.569,102.0,She Will Be Loved - Radio Mix,96
257,0,0.505,0.48,0.418,0.11,-9.622,132.404,After Rain,19
258,73,0.671,0.591,0.45,0.159,-6.369,135.893,Bless The Broken Road,62
259,0,0.0175,0.539,0.871,0.241,-5.487,113.98,Iran,2
260,41,0.908,0.514,0.266,0.0838,-13.021,97.007,Tightrope,95
261,67,0.013,0.7,0.701,0.461,-3.834,93.012,Jealous,7
262,67,0.00425,0.539,0.521,0.367,-7.46,106.035,Someday,22
263,0,0.0503,0.646,0.864,0.032,-5.198,135.024,Don't Let Go,83
264,49,0.0276,0.597,0.834,0.174,-4.307,115.981,The Only Name (Yours Will Be),18
265,57,0.528,0.788,0.461,0.0886,-11.704,76.669,Fire on the Mountain - 2013 Remaster,51
266,30,0.0498,0.65,0.856,0.0997,-3.593,129.958,Pretender,76
