name,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Don't Let Go,203322,0,0.0503,0.646,0.864,0,0.032,-5.198,0.0395,135.024
The Only Name (Yours Will Be),261880,49,0.0276,0.597,0.834,0,0.174,-4.307,0.0301,115.981
Fire on the Mountain - 2013 Remaster,229009,57,0.528,0.788,0.461,2.69e-05,0.0886,-11.704,0.0556,76.669
Pretender,215506,30,0.0498,0.65,0.856,0.542,0.0997,-3.593,0.0388,129.958
Tar en for laget,192866,30,0.226,0.787,0.681,0,0.431,-7.713,0.0758,118.012
Hymn Of The Big Wheel - Nellee Hooper Mix,352400,24,0.0282,0.707,0.613,0.0276,0.0714,-13.899,0.0529,95.927
Mummy's Kitchen,220880,40,0.221,0.879,0.718,0,0.0857,-5.373,0.34,142.862
Pride and Joy,219586,67,0.0274,0.427,0.626,0.00395,0.106,-11.821,0.0385,126.877
Going Up The Country,171373,63,0.806,0.653,0.239,0.0146,0.132,-18.54,0.0453,80.392
"Let's Hear It for the Boy - From ""Footloose"" Soundtrack",261893,56,0.177,0.783,0.573,8.5e-05,0.043,-8.521,0.0462,122.744
I Love to Love,183693,62,0.143,0.677,0.703,6.96e-05,0.514,-9.344,0.0344,99.419
When The Tequila Runs Out,284720,43,0.0438,0.682,0.759,0.000309,0.367,-6.225,0.041,155.993
